label,terrain_type,n_values,bin_width_m,plot_min_m,plot_max_m,histogram_peak_m,histogram_peak_count,mean_m,median_m,std_m,p05_m,p25_m,p75_m,p95_m
post-pre_COREG_BIAS_ASPECT_o1_a0,all,52858183,0.005,-5,5,0.0025,958164,-0.041915852,-6.10E-05,0.7596816325862081,-0.683258057,-0.105041504,0.113647461,0.383422852
post-pre_COREG_BIAS_ASPECT_o1_a0,stable,52690013,0.005,-5,5,0.0025,958164,-0.04591111,0,0.4610632980648247,-0.66394043,-0.104248047,0.11315918,0.379760742
post-pre_COREG_BIAS_ASPECT_o1_a10,all,52858228,0.005,-5,5,0.0025,984334,-0.044126512,-6.10E-05,0.7602530072992705,-0.686950684,-0.106506348,0.1086502075195312,0.382324219
post-pre_COREG_BIAS_ASPECT_o1_a10,stable,52690058,0.005,-5,5,0.0025,984334,-0.048133537,0,0.461304665,-0.667663574,-0.105651855,0.1082305908203125,0.378601074
post-pre_COREG_BIAS_ASPECT_o1_a20,all,52858228,0.005,-5,5,0.0025,1007702,-0.046746007,-6.10E-05,0.7604981300924973,-0.690002441,-0.108001709,0.102722168,0.380737305
post-pre_COREG_BIAS_ASPECT_o1_a20,stable,52690058,0.005,-5,5,0.0025,1007702,-0.050735952,0,0.46152566074345425,-0.67074585,-0.107154846,0.102294922,0.376953125
post-pre_COREG_BIAS_ASPECT_o1_a30,all,52858228,0.005,-5,5,0.0025,1025725,-0.049699563,-6.10E-05,0.7612073950119512,-0.694355631,-0.109802246,0.097106934,0.377685547
post-pre_COREG_BIAS_ASPECT_o1_a30,stable,52690058,0.005,-5,5,0.0025,1025725,-0.053680801,0,0.46207781338561776,-0.675048828,-0.108947754,0.096740723,0.373840332
post-pre_COREG_BIAS_ASPECT_o1_a40,all,52858228,0.005,-5,5,0.0075,1039905,-0.052473896,-6.10E-05,0.7618436418049567,-0.698760986,-0.111206055,0.092712402,0.372192383
post-pre_COREG_BIAS_ASPECT_o1_a40,stable,52690058,0.005,-5,5,0.0075,1039905,-0.056432033,0,0.46263035328303415,-0.679260254,-0.110347748,0.092346191,0.368225098
post-pre_COREG_BIAS_ASPECT_o1_a50,all,52858228,0.005,-5,5,0.0075,1062608,-0.056906051,-6.10E-05,0.7623452854396985,-0.705688477,-0.114160538,0.087158203,0.36114502
post-pre_COREG_BIAS_ASPECT_o1_a50,stable,52690058,0.005,-5,5,0.0075,1062608,-0.060840831,0,0.4632263362386367,-0.686065674,-0.11328125,0.08682251,0.357177734
post-pre_COREG_BIAS_ASPECT_o1_a60,all,52858228,0.005,-5,5,0.012499999999893152,1068788,-0.061450657,-6.10E-05,0.7629309908538199,-0.71295166,-0.117218018,0.081962585,0.3477020263671875
post-pre_COREG_BIAS_ASPECT_o1_a60,stable,52690058,0.005,-5,5,0.012499999999893152,1068788,-0.065367772,0,0.46380298338850506,-0.693359375,-0.116333008,0.081642151,0.34362793
post-pre_COREG_BIAS_ASPECT_o1_a70,all,52858228,0.005,-5,5,0.012499999999893152,1077437,-0.065192715,-6.10E-05,0.7633697979327457,-0.719055176,-0.118713379,0.078125,0.332763672
post-pre_COREG_BIAS_ASPECT_o1_a70,stable,52690058,0.005,-5,5,0.012499999999893152,1077437,-0.069086915,0,0.46423886388254487,-0.699157715,-0.11781311,0.077819824,0.328613281
post-pre_COREG_BIAS_ASPECT_o1_a80,all,52858228,0.005,-5,5,0.017499999999893046,1084936,-0.066903816,-6.10E-05,0.7642980942474551,-0.722229004,-0.117797852,0.07598877,0.324951172
post-pre_COREG_BIAS_ASPECT_o1_a80,stable,52690058,0.005,-5,5,0.017499999999893046,1084936,-0.070787792,0,0.46482750201137024,-0.702270508,-0.116882324,0.075714111,0.320861816
post-pre_COREG_BIAS_ASPECT_o1_a90,all,52858194,0.005,-5,5,0.012499999999893152,1107968,-0.067054957,-6.10E-05,0.763578596,-0.721557617,-0.114334106,0.075805664,0.317626953
