pair,stage,deramp_order,directional_angle,mean,median,std,NMAD,RMSE,n_valid,stable_mean,stable_median,stable_std,stable_NMAD,stable_RMSE,n_stable,abs_median,stable_abs_median,stable_NMAD_improvement_pct,stable_RMSE_improvement_pct,stable_bias_improvement_pct
post-pre_COREG_BIAS_ASPECT_o1_a90,coreg_bias,1,90,-0.067054957,-6.10E-05,0.763578596,0.13618853759765626,0.7665172136644115,52858194,-0.070871429,0,0.46478881387357784,0.135374121,0.470161037,52690024,6.103515625e-05,0,29.763970143231788,7.560502072097951,100
post-pre_COREG_BIAS_ASPECT_o1_a80,coreg_bias,1,80,-0.066903816,-6.10E-05,0.7642980942474551,0.13908424072265624,0.7672207618806578,52858228,-0.070787792,0,0.46482750201137024,0.138269824,0.47018668439557826,52690058,6.103515625e-05,0,28.26159517303353,7.555459536588265,100
post-pre_COREG_BIAS_ASPECT_o3_a90,coreg_bias,3,90,-0.064894022,-6.10E-05,0.7611927979482251,0.14152749,0.7639539971038789,52858194,-0.068713984,0,0.46142401548095496,0.14073569641113282,0.4665123081864793,52690024,6.103515625e-05,0,26.982228987474087,8.277887524051364,100
post-pre_COREG_BIAS_ASPECT_o1_a70,coreg_bias,1,70,-0.065192715,-6.10E-05,0.7633697979327458,0.14197994384765625,0.7661485094311485,52858228,-0.069086915,0,0.46423886388254487,0.14116552734374999,0.46935138716286867,52690058,6.103515625e-05,0,26.759220202835294,7.719689344430359,100
post-pre_COREG_BIAS_ASPECT_o2_a90,coreg_bias,2,90,-0.06543896,-6.87E-05,0.7616913710841767,0.1432355026245117,0.7644972218637556,52858194,-0.069261582,0,0.4623497813241282,0.1424776428222656,0.4675088095921675,52690024,6.866455078125e-05,0,26.078456544464213,8.081962974128368,100
post-pre_COREG_BIAS_ASPECT_o3_a80,coreg_bias,3,80,-0.063817802,-6.10E-05,0.7622687802307659,0.14354090881347656,0.7649355561932689,52858228,-0.067717325,0,0.4615707247764665,0.14274911499023438,0.46651170416931875,52690058,6.103515625e-05,0,25.937608891008114,8.278006281325215,100
post-pre_COREG_BIAS_ASPECT_o2_a80,coreg_bias,2,80,-0.063580226,-6.10E-05,0.7625932009436162,0.14421958923339842,0.7652390706573541,52858228,-0.067484825,0,0.4624251469185726,0.14342779541015624,0.4673234619927641,52690058,6.103515625e-05,0,25.585489757367906,8.118404613633476,100
post-pre_COREG_BIAS_ASPECT_o1_a60,coreg_bias,1,60,-0.061450657,-6.10E-05,0.7629309908538199,0.14487564697265623,0.7654017768909532,52858228,-0.065367772,0,0.46380298338850506,0.14401598510742186,0.46838675580283523,52690058,6.103515625e-05,0,25.28031984154639,7.909347847647058,100
post-pre_COREG_BIAS_ASPECT_o2_a70,coreg_bias,2,70,-0.062684121,-6.10E-05,0.7615875748839749,0.14686644287109374,0.7641628970495322,52858228,-0.06659344,0,0.461813436,0.1460520263671875,0.4665901155550313,52690058,6.103515625e-05,0,24.223962440625733,8.262589629259416,100
post-pre_COREG_BIAS_ASPECT_o3_a70,coreg_bias,3,70,-0.061544532,-6.10E-05,0.7614803541191425,0.14738676452636718,0.7639633886394516,52858228,-0.065465071,0,0.4609331036239008,0.14651579132080078,0.4655588057230824,52690058,6.103515625e-05,0,23.98334769930492,8.465357948001737,100
