label,status,mean_sigma,median_sigma,max_sigma,spatial_corr_function
post-pre_COREG_BIAS_ASPECT_o1_a0_uncertainty,success,0.18325700721837815,0.18922808409989933,1.673571533053372,<function correlation_from_variogram.<locals>.rho at 0x0000014A5FF07880>
post-pre_COREG_BIAS_ASPECT_o1_a10_uncertainty,success,0.18064705965753933,0.18457649806834014,1.6648726808913852,<function correlation_from_variogram.<locals>.rho at 0x0000014A6005E480>
post-pre_COREG_BIAS_ASPECT_o1_a20_uncertainty,success,0.17742770622650844,0.17957808648264617,1.6339189280864903,<function correlation_from_variogram.<locals>.rho at 0x0000014A5FA02660>
post-pre_COREG_BIAS_ASPECT_o1_a30_uncertainty,success,0.17451098675934246,0.175489384590683,1.6252290907613534,<function correlation_from_variogram.<locals>.rho at 0x0000014A5E2D6700>
post-pre_COREG_BIAS_ASPECT_o1_a40_uncertainty,success,0.17205619287509538,0.1716670998716686,1.624866450087311,<function correlation_from_variogram.<locals>.rho at 0x0000015059C8B4C0>
post-pre_COREG_BIAS_ASPECT_o1_a50_uncertainty,success,0.1697633812768185,0.1681139356709579,1.60259590965971,<function correlation_from_variogram.<locals>.rho at 0x0000014C5B822B60>
post-pre_COREG_BIAS_ASPECT_o1_a60_uncertainty,success,0.1677534088287946,0.16491261396498225,1.6141093334725178,<function correlation_from_variogram.<locals>.rho at 0x0000014A5D6AE700>
post-pre_COREG_BIAS_ASPECT_o1_a70_uncertainty,success,0.1650444348183347,0.16067872823036983,1.6171866700139936,<function correlation_from_variogram.<locals>.rho at 0x0000014AA0B56660>
post-pre_COREG_BIAS_ASPECT_o1_a80_uncertainty,success,0.16192927674934818,0.1557302900808447,1.5933932593621811,<function correlation_from_variogram.<locals>.rho at 0x0000014A9E441BC0>
post-pre_COREG_BIAS_ASPECT_o1_a90_uncertainty,success,0.15783823678104072,0.14979801381839564,1.5931887937111775,<function correlation_from_variogram.<locals>.rho at 0x0000014D0FAE5C60>
post-pre_COREG_BIAS_ASPECT_o2_a0_uncertainty,success,0.19231455337335995,0.19256922669803772,1.7232098687449287,<function correlation_from_variogram.<locals>.rho at 0x0000014A5F47AFC0>
post-pre_COREG_BIAS_ASPECT_o2_a10_uncertainty,success,0.19172738312412807,0.1929261477183256,1.7158451124621414,<function correlation_from_variogram.<locals>.rho at 0x0000014D24C52B60>
post-pre_COREG_BIAS_ASPECT_o2_a40_uncertainty,success,0.18401966938149672,0.18442610186214387,1.6889599982258354,<function correlation_from_variogram.<locals>.rho at 0x0000015044BF4040>
post-pre_COREG_BIAS_ASPECT_o2_a50_uncertainty,success,0.1799405837863196,0.18001193453526787,1.654536158886261,<function correlation_from_variogram.<locals>.rho at 0x0000014D0FAE6FC0>
post-pre_COREG_BIAS_ASPECT_o2_a60_uncertainty,success,0.17638824489680371,0.17534081741220722,1.6493939533642126,<function correlation_from_variogram.<locals>.rho at 0x0000014AA0C05EE0>
post-pre_COREG_BIAS_ASPECT_o2_a70_uncertainty,success,0.1695879216538318,0.16610085852058726,1.6376310997746941,<function correlation_from_variogram.<locals>.rho at 0x0000014A5E2D79C0>
post-pre_COREG_BIAS_ASPECT_o2_a80_uncertainty,success,0.16705828527480998,0.16170685544175328,1.64065383054317,<function correlation_from_variogram.<locals>.rho at 0x0000014A9E769B20>
post-pre_COREG_BIAS_ASPECT_o2_a90_uncertainty,success,0.16596086562933765,0.15698350121734997,1.6432648779792718,<function correlation_from_variogram.<locals>.rho at 0x0000014AA0C11D00>
post-pre_COREG_BIAS_ASPECT_o3_a0_uncertainty,success,0.1909609487106486,0.19594662159593565,1.7398682643641246,<function correlation_from_variogram.<locals>.rho at 0x0000014A5FF07240>
post-pre_COREG_BIAS_ASPECT_o3_a10_uncertainty,success,0.19099232726860835,0.19716180285136936,1.7251269679054986,<function correlation_from_variogram.<locals>.rho at 0x0000014AA1657F60>
post-pre_COREG_BIAS_ASPECT_o3_a20_uncertainty,success,0.1873020772570181,0.1931244236892532,1.7091812767672454,<function correlation_from_variogram.<locals>.rho at 0x0000014AA1657C40>
post-pre_COREG_BIAS_ASPECT_o3_a30_uncertainty,success,0.18498699052086626,0.1909284280356235,1.6900609589293452,<function correlation_from_variogram.<locals>.rho at 0x0000014AA0C102C0>
post-pre_COREG_BIAS_ASPECT_o3_a40_uncertainty,success,0.18192294087014818,0.18680053429086357,1.6770874037973016,<function correlation_from_variogram.<locals>.rho at 0x0000014AA0B22980>
post-pre_COREG_BIAS_ASPECT_o3_a50_uncertainty,success,0.17773481338542213,0.18084308488574938,1.6413214410101846,<function correlation_from_variogram.<locals>.rho at 0x0000014A5E2D5580>
post-pre_COREG_BIAS_ASPECT_o3_a60_uncertainty,success,0.17440793426475765,0.17500959184573323,1.6509079305924756,<function correlation_from_variogram.<locals>.rho at 0x0000014D24C51A80>
post-pre_COREG_BIAS_ASPECT_o3_a70_uncertainty,success,0.16867906053708343,0.16676763782630533,1.6335554258999412,<function correlation_from_variogram.<locals>.rho at 0x0000014A5CBEB560>
post-pre_COREG_BIAS_ASPECT_o3_a80_uncertainty,success,0.16594522743252,0.16118868086310617,1.6298212727302719,<function correlation_from_variogram.<locals>.rho at 0x0000014D24C51DA0>
post-pre_COREG_BIAS_ASPECT_o3_a90_uncertainty,success,0.1631170263361695,0.1566020554864596,1.6077268636897835,<function correlation_from_variogram.<locals>.rho at 0x0000014A9E768040>
post-pre_COREG_ONLY_uncertainty,success,0.19127494851351412,0.2008327796617504,1.7075023755429286,<function correlation_from_variogram.<locals>.rho at 0x0000014A9E847C40>
post-pre_RAW_uncertainty,success,0.2293071709881318,0.23081964274122221,1.9154783537626494,<function correlation_from_variogram.<locals>.rho at 0x0000014A5CBEB7E0>
